CO_ENTIDADE;NO_ENTIDADE;CO_MUNICIPIO;NO_MUNICIPIO;DS_ENDERECO;NU_ENDERECO;DS_COMPLEMENTO;NO_BAIRRO;CO_CEP;TP_SITUACAO_FUNCIONAMENTO;TP_DEPENDENCIA
31287415;CENTRO MUN DE EDUCACAO INFANTIL DESEMBARGADOR OTONI;3121605;Diamantina;RUA SANTO ANTONIO;255;;DESEMBARGADOR OTONI;39113000;2;3
31027391;EM JOSE DORACY DE MOURA;3121605;Diamantina;POV DOS CAFUNDOS;0;;;39105000;2;3
31027430;EM DE COVAO;3121605;Diamantina;POVOADO DE COVAO;;;ZONA RURAL;39100000;2;3
31027456;EM DA FAZENDA SANTA CRUZ;3121605;Diamantina;FAZENDA SANTA CRUZ;;;POVOADO DE FAZENDA SANTA CRUZ;39100000;2;3
31250996;EM DE ALGODOEIRO;3121605;Diamantina;POVOADO DE ALGODOEIRO;;;ALGODOEIRO;39105000;2;3
31287253;ASSOC DIST PRO DESENV DE EXTRACAO;3121605;Diamantina;PCA ZICO PIMENTA;36;;CENTRO;39100000;2;4
31287750;ASSOC COM DE VAU;3121605;Diamantina;R MANOEL DA CRUZ;26;;CENTRO;39105000;2;4
31027472;EM CAMPO ALEGRE;3121605;Diamantina;POV CAMPO ALEGRE;0;;;39103000;2;3
31027481;EM JUSCELINO BORGES;3121605;Diamantina;POVOADO DE GALHEIROS;;;DISTRITO DE GUINDA;39100000;2;3
31023914;EE JOAO CESAR DE OLIVEIRA;3121605;Diamantina;R DA VARZEA;0;;CENTRO;39111000;1;2
31027499;EM MARIA NUNES;3121605;Diamantina;PRACA NOSSA NOSSA SENHORA AUXILIADORA;S/N;;POVOADO DE MARIA NUNES;39100000;1;3
31027511;EM JOSE ALACOQUE ALVES PEREIRA;3121605;Diamantina;VARGEM DE INHAI;;ZONA RURAL;POVOADO DE VARGEM;39100000;2;3
31027596;EM CORREGO FUNDO;3121605;Diamantina;CORREGO FUNDO;;PREDIO;;39110000;2;3
31027618;EM DE PINHEIRO;3121605;Diamantina;POVOADO DE PINHEIRO;;;;39111000;2;3
31287326;CENTRO MUN DE EDUCACAO INFANTIL INHAI;3121605;Diamantina;RUA DA PRATA;147;CASA;DISTRITO DE INHAI;39111000;2;3
31287768;CENTRO MUN DE EDUCACAO INFANTIL MARIA NUNES;3121605;Diamantina;PRACA NOSSA SENHORA AUXILIADORA;S/Nº;POVOADO DE MARIA NUN;POVOADO DE MARIA NUNES;39100000;2;3
31291391;CENTRO MUNICIPAL DE EDUCACAO INFANTIL BOA VISTA;3121605;Diamantina;R BOA VISTA;250;;CENTRO;39111000;2;3
31023922;EM PROFESSORA ANA CELIA DE OLIVEIRA SOUZA;3121605;Diamantina;LARGO DO AREAO;S/Nº;PREDIO;MENDANHA;39101000;1;3
31327271;CENTRO MUN DE EDUCACAO INFANTIL MENDANHA;3121605;Diamantina;RUA DO AREAO;S/N;;MENDANHA;39101000;2;3
31023931;EE DURVAL CANDIDO CRUZ;3121605;Diamantina;R PRINCIPAL;180;;CENTRO;39114000;1;2
31027383;EM SAO DOMINGOS;3121605;Diamantina;POVOADO DE SAO DOMIGONS;;;;39100000;2;3
31027537;EM SANTANA DA DIVISA;3121605;Diamantina;POVOADO DE SANTANA DA DIVISA;;;DISTRITO DE PLANALTO DE MINAS;39100000;2;3
31027545;EM BAIXADAO;3121605;Diamantina;POVOADO DE BAIXADAO;;CASA;;39114000;2;3
31027553;EM BARRO VERMELHO;3121605;Diamantina;POV DE BARRO VERMELHO;0;;;39114000;2;3
31206059;EM DE QUEBRA PE;3121605;Diamantina;POVOADO DE QUEBRA PE;;CALUMBIS;;39114000;2;3
31023949;EE GOVERNADOR JUSCELINO KUBITSCHEK;3121605;Diamantina;R DO DISTRITO;40;;CENTRO;39110000;1;2
31027626;EM QUARTEL DO INDAIA;3121605;Diamantina;POVOADO DE QUARTEL DOINDAIA;S/N;AREA RURAL;QUARTEL DOINDAIA;39110000;2;3
31027634;EM JOAO NEPOMUCENO DE ALMEIDA;3121605;Diamantina;POV RIBEIRAO DE AREIA;0;;;39110000;2;3
31023957;EE ARTUR TIBAES;3121605;Diamantina;R DAS MERCES;0;;CENTRO;39112000;1;2
31027669;EM PEDRARIA;3121605;Diamantina;DISTRITO SENADOR MOURAO;-;PREDIO;POVOADO DE PEDRARIA;39100000;2;3
31027677;EM RIACHO DA PORTA;3121605;Diamantina;POV RIACHO DA PORTA;0;;;39112000;2;3
31027685;EM VARGEM SAO JOAO;3121605;Diamantina;POV VARGEM DE SAO JOAO;0;;;39112000;2;3
31206041;EM BURACAO;3121605;Diamantina;POV DE BURACAO;0;;;39112000;2;3
31239755;EM BARRA DE PEDRARIA;3121605;Diamantina;POVOADO DE BARRA DE PEDRARIA;;PREDIO;POVOADO DE BARRA DE PEDRARIA;39100000;2;3
31251038;EM PEDRO BAIANO;3121605;Diamantina;POVOADO DE PEDRO BAIANO;;;;39100000;2;3
31287296;CRECHE MENINO JESUS;3121605;Diamantina;R DO ROSARIO;169;;;39112000;2;4
31290891;CENTRO MUN DE EDUCACAO INFANTIL LOURDES TIBAES;3121605;Diamantina;RUA DO ROSARIO;132;PREDIO PROPRIO;ZONA RURAL;39112000;1;3
31023965;EE PROFA EMILIA NEVES;3121605;Diamantina;LARGO STA RITA;306;;CENTRO;39102000;2;2
31346039;EM DE SOPA;3121605;Diamantina;PRACA SANTA RITA;306;PREDIO;DISTRITO DE SOPA;39102000;1;3
